PERSON_ID,full_name,first_name,last_name,TEAM_NAME,regular_season_TotalScore,playoff_TotalScore,Total_Score
1630173,Precious Achiuwa,Precious,Achiuwa,Raptors,1476.0,68.0,1544.0
203500,Steven Adams,Steven,Adams,Grizzlies,6518.0,509.0,7027.0
1628389,Bam Adebayo,Bam,Adebayo,Heat,6146.0,1095.0,7241.0
1630534,Ochai Agbaji,Ochai,Agbaji,Jazz,467.0,0.0,467.0
1630583,Santi Aldama,Santi,Aldama,Grizzlies,828.0,39.0,867.0
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,Timberwolves,1830.0,47.0,1877.0
1628960,Grayson Allen,Grayson,Allen,Bucks,2556.0,199.0,2755.0
1628386,Jarrett Allen,Jarrett,Allen,Cavaliers,4914.0,143.0,5057.0
1630631,Jose Alvarado,Jose,Alvarado,Pelicans,880.0,48.0,928.0
203937,Kyle Anderson,Kyle,Anderson,Timberwolves,4013.0,281.0,4294.0
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,Bucks,16280.0,2105.0,18385.0
203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,Bucks,449.0,14.0,463.0
1630175,Cole Anthony,Cole,Anthony,Magic,2448.0,0.0,2448.0
1628384,O.G. Anunoby,O.G.,Anunoby,Raptors,4268.0,298.0,4566.0
1627853,Ryan Arcidiacono,Ryan,Arcidiacono,NOTEAM,1031.0,0.0,1031.0
1630166,Deni Avdija,Deni,Avdija,Wizards,1724.0,0.0,1724.0
1629028,Deandre Ayton,Deandre,Ayton,Suns,5046.0,714.0,5760.0
1628962,Udoka Azubuike,Udoka,Azubuike,Jazz,221.0,0.0,221.0
1630641,Ibou Badji,Ibou,Badji,NOTEAM,,,
1628963,Marvin Bagley III,Marvin,Bagley III,Pistons,2760.0,0.0,2760.0
1631116,Patrick Baldwin Jr.,Patrick,Baldwin Jr.,Warriors,122.0,0.0,122.0
1630163,LaMelo Ball,LaMelo,Ball,Hornets,3149.0,0.0,3149.0
1628366,Lonzo Ball,Lonzo,Ball,NOTEAM,,,
1628964,Mo Bamba,Mo,Bamba,Lakers,2070.0,0.0,2070.0
1631094,Paolo Banchero,Paolo,Banchero,Magic,1437.0,0.0,1437.0
1630217,Desmond Bane,Desmond,Bane,Grizzlies,3256.0,394.0,3650.0
1630625,Dalano Banton,Dalano,Banton,Raptors,347.0,7.0,354.0
1631230,Dominick Barlow,Dominick,Barlow,Spurs,110.0,0.0,110.0
203084,Harrison Barnes,Harrison,Barnes,Kings,11796.0,762.0,12558.0
1630567,Scottie Barnes,Scottie,Barnes,Raptors,2313.0,51.0,2364.0
1629628,RJ Barrett,RJ,Barrett,Knicks,4900.0,284.0,5184.0
203115,Will Barton,Will,Barton,Raptors,7625.0,290.0,7915.0
1629646,Charles Bassey,Charles,Bassey,Spurs,268.0,2.0,270.0
1628966,Keita Bates-Diop,Keita,Bates-Diop,Spurs,1500.0,3.0,1503.0
201587,Nicolas Batum,Nicolas,Batum,Clippers,10627.0,579.0,11206.0
1629647,Darius Bazley,Darius,Bazley,Suns,2065.0,46.0,2111.0
203078,Bradley Beal,Bradley,Beal,Wizards,15391.0,1057.0,16448.0
1627736,Malik Beasley,Malik,Beasley,Lakers,4513.0,197.0,4710.0
1630699,MarJon Beauchamp,MarJon,Beauchamp,Bucks,266.0,5.0,271.0
202722,Davis Bertans,Davis,Bertans,Mavericks,3371.0,179.0,3550.0
201976,Patrick Beverley,Patrick,Beverley,Bulls,5069.0,532.0,5601.0
1630180,Saddiq Bey,Saddiq,Bey,Hawks,3240.0,45.0,3285.0
203920,Khem Birch,Khem,Birch,Spurs,1402.0,68.0,1470.0
1629048,Goga Bitadze,Goga,Bitadze,Magic,919.0,0.0,919.0
202687,Bismack Biyombo,Bismack,Biyombo,Suns,4077.0,183.0,4260.0
1631205,Buddy Boeheim,Buddy,Boeheim,Pistons,16.0,0.0,16.0
203992,Bogdan Bogdanovic,Bogdan,Bogdanovic,Hawks,5257.0,390.0,5647.0
202711,Bojan Bogdanovic,Bojan,Bogdanovic,Pistons,10316.0,643.0,10959.0
1629626,Bol Bol,Bol,Bol,Magic,776.0,19.0,795.0
1630195,Leandro Bolmaro,Leandro,Bolmaro,NOTEAM,56.0,0.0,56.0
1626164,Devin Booker,Devin,Booker,Suns,12688.0,1205.0,13893.0
1630527,Brandon Boston Jr.,Brandon,Boston Jr.,Clippers,486.0,0.0,486.0
1628449,Chris Boucher,Chris,Boucher,Raptors,2788.0,80.0,2868.0
1630547,James Bouknight,James,Bouknight,Hornets,333.0,0.0,333.0
1631123,Jamaree Bouyea,Jamaree,Bouyea,NOTEAM,15.0,0.0,15.0
1628396,Tony Bradley,Tony,Bradley,NOTEAM,792.0,21.0,813.0
1631103,Malaki Branham,Malaki,Branham,Spurs,673.0,0.0,673.0
1629714,Jarrell Brantley,Jarrell,Brantley,NOTEAM,110.0,2.0,112.0
1631128,Christian Braun,Christian,Braun,Nuggets,360.0,61.0,421.0
1628969,Mikal Bridges,Mikal,Bridges,Nets,5154.0,511.0,5665.0
1629052,Oshae Brissett,Oshae,Brissett,Pacers,1277.0,0.0,1277.0
1627763,Malcolm Brogdon,Malcolm,Brogdon,Celtics,6159.0,518.0,6677.0
1628415,Dillon Brooks,Dillon,Brooks,Grizzlies,5002.0,353.0,5355.0
1628971,Bruce Brown,Bruce,Brown,Nuggets,2979.0,404.0,3383.0
1627759,Jaylen Brown,Jaylen,Brown,Celtics,8428.0,1911.0,10339.0
1631112,Kendall Brown,Kendall,Brown,Pacers,9.0,0.0,9.0
1629650,Moses Brown,Moses,Brown,NOTEAM,707.0,0.0,707.0
1628425,Sterling Brown,Sterling,Brown,NOTEAM,1431.0,63.0,1494.0
1630535,Greg Brown III,Greg,Brown III,NOTEAM,253.0,0.0,253.0
1628972,Troy Brown Jr.,Troy,Brown Jr.,Lakers,1949.0,34.0,1983.0
1628973,Jalen Brunson,Jalen,Brunson,Knicks,4919.0,750.0,5669.0
1628418,Thomas Bryant,Thomas,Bryant,Nuggets,2312.0,0.0,2312.0
203493,Reggie Bullock,Reggie,Bullock,Mavericks,3943.0,248.0,4191.0
202692,Alec Burks,Alec,Burks,Pistons,7301.0,220.0,7521.0
1629126,Deonte Burton,Deonte,Burton,NOTEAM,186.0,2.0,188.0
1630215,Jared Butler,Jared,Butler,Thunder,198.0,0.0,198.0
202710,Jimmy Butler,Jimmy,Butler,Heat,13688.0,2534.0,16222.0
1631219,John Butler Jr.,John,Butler Jr.,Trail Blazers,45.0,0.0,45.0
1631288,Jamal Cain,Jamal,Cain,Heat,98.0,0.0,98.0
203484,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,Nuggets,8733.0,529.0,9262.0
1630267,Facundo Campazzo,Facundo,Campazzo,NOTEAM,738.0,93.0,831.0
1628427,Vlatko Cancar,Vlatko,Cancar,Nuggets,461.0,16.0,477.0
203991,Clint Capela,Clint,Capela,Hawks,6630.0,739.0,7369.0
1630176,Vernon Carey Jr.,Vernon,Carey Jr.,Jazz,72.0,0.0,72.0
