Player,EarningsTotal
Al Horford,"$275,636,768"
Kevin Love,"$269,654,140"
Anthony Davis,"$266,608,394"
Blake Griffin,"$258,670,680"
Rudy Gobert,"$217,207,582"
Joel Embiid,"$214,429,387"
Nikola Jokic,"$198,124,795"
Brook Lopez,"$197,049,673"
Karl-Anthony Towns,"$182,267,723"
DeAndre Jordan,"$174,286,584"
Nikola Vucevic,"$172,857,158"
Steven Adams,"$157,744,832"
Andre Drummond,"$145,098,705"
Jonas Valanciunas,"$135,756,944"
Myles Turner,"$120,221,304"
Tristan Thompson,"$116,156,744"
Clint Capela,"$108,178,688"
Bam Adebayo,"$104,855,232"
Deandre Ayton,"$103,154,736"
Robin Lopez,"$101,355,751"
Jusuf Nurkic,"$91,895,180"
Bismack Biyombo,"$89,774,883"
Taj Gibson,"$85,812,703"
JaVale McGee,"$81,802,767"
Cody Zeller,"$78,835,630"
Mason Plumlee,"$77,850,952"
Gorgui Dieng,"$75,501,806"
Dwight Powell,"$75,220,309"
Jarrett Allen,"$69,886,030"
Meyers Leonard,"$60,150,630"
Jakob Poeltl,"$57,747,126"
Dewayne Dedmon,"$50,359,925"
Wendell Carter Jr.,"$48,886,380"
Nerlens Noel,"$48,564,833"
Richaun Holmes,"$48,292,095"
Ivica Zubac,"$45,544,215"
Christian Wood,"$45,235,548"
Alex Len,"$43,013,782"
James Wiseman,"$39,619,840"
Montrezl Harrell,"$39,475,239"
Mitchell Robinson,"$39,140,860"
Zach Collins,"$38,117,603"
Daniel Theis,"$37,964,463"
Mohamed Bamba,"$36,390,937"
Kevon Looney,"$34,038,458"
Robert Williams III,"$31,448,477"
Thomas Bryant,"$31,355,368"
Khem Birch,"$28,070,356"
Mike Muscala,"$27,625,766"
Onyeka Okongwu,"$26,422,143"
Willie Cauley-Stein,"$25,867,686"
Jaxson Hayes,"$24,283,492"
Frank Kaminsky,"$22,722,830"
Isaiah Hartenstein,"$22,655,097"
Nicolas Claxton,"$22,242,768"
Chet Holmgren,"$20,277,240"
Naz Reid,"$19,023,849"
Daniel Gafford,"$18,475,449"
Moritz Wagner,"$17,688,482"
Goga Bitadze,"$16,316,785"
Isaiah Stewart,"$15,098,193"
Damian Jones,"$14,551,356"
Willy Hernangomez,"$12,435,586"
Victor Wembanyama,"$12,160,680"
Paul Reed,"$11,632,730"
Luke Kornet,"$11,337,581"
Jock Landale,"$10,488,776"
Alperen Sengun,"$10,126,320"
Bruno Fernando,"$9,912,015"
Nick Richards,"$9,300,602"
Chimezie Metu,"$8,937,033"
Jalen Duren,"$8,454,960"
Drew Eubanks,"$8,175,173"
Mark Williams,"$7,630,200"
Xavier Tillman,"$6,531,283"
Day'Ron Sharpe,"$6,328,680"
Santi Aldama,"$6,282,840"
Udoka Azubuike,"$6,227,760"
Omer Yurtseven,"$6,060,161"
Charles Bassey,"$6,000,000"
Walker Kessler,"$5,527,560"
Dereck Lively II,"$4,775,640"
Jaylin Williams,"$4,000,000"
Jericho Sims,"$3,565,862"
Christian Koloko,"$3,219,864"
Sandro Mamukelashvili,"$2,377,423"
Neemias Queta,"$2,019,706"
Orlando Robinson,"$1,801,769"
Dmytro Skapintsev,"$1,119,563"
Luka Garza,"$925,258"
Micah Potter,"$53,176"
Chance Comanche,"$5,849"
Chris Paul,"$389,909,419"
Stephen Curry,"$354,721,977"
Russell Westbrook,"$340,265,800"
Damian Lillard,"$279,348,442"
Kyle Lowry,"$275,048,700"
Mike Conley,"$274,127,986"
Kyrie Irving,"$270,083,674"
Jrue Holiday,"$254,083,552"
Derrick Rose,"$166,120,847"
Ben Simmons,"$163,018,545"
D'Angelo Russell,"$155,945,859"
Goran Dragic,"$154,378,483"
Reggie Jackson,"$149,275,194"
Jamal Murray,"$136,469,709"
Ricky Rubio,"$132,178,909"
Fred VanVleet,"$122,254,173"
De'Aaron Fox,"$115,228,300"
George Hill,"$112,353,436"
Malcolm Brogdon,"$110,032,562"
Luka Doncic,"$109,148,261"
Terry Rozier,"$108,917,826"
Trae Young,"$103,296,369"
Marcus Smart,"$102,337,423"
Lonzo Ball,"$91,531,317"
Dennis Schröder,"$89,978,794"
Markelle Fultz,"$86,790,942"
Spencer Dinwiddie,"$85,365,412"
Patrick Beverley,"$82,027,846"
Patty Mills,"$81,520,846"
Shai Gilgeous-Alexander,"$81,018,675"
Cory Joseph,"$74,379,608"
Ja Morant,"$73,625,090"
Dejounte Murray,"$71,214,269"
Darius Garland,"$63,088,565"
Tyus Jones,"$61,409,999"
Jalen Brunson,"$60,104,215"
Derrick White,"$58,842,940"
Collin Sexton,"$53,702,301"
Delon Wright,"$49,676,633"
Dante Exum,"$47,556,675"
Ishmael Smith,"$41,738,951"
Devonte' Graham,"$38,630,624"
LaMelo Ball,"$35,596,275"
T.J. McConnell,"$35,552,881"
Coby White,"$34,910,931"
Monte Morris,"$32,337,054"
Cade Cunningham,"$31,658,280"
Cameron Payne,"$31,101,096"
Kris Dunn,"$30,824,951"
Frank Ntilikina,"$24,739,538"
Killian Hayes,"$24,131,515"
Kevin Porter Jr.,"$23,869,193"
Dennis Smith Jr.,"$23,360,347"
Jevon Carter,"$22,414,388"
Gary Payton II,"$21,059,090"
Tyrese Haliburton,"$17,878,995"
Kira Lewis Jr.,"$17,188,836"
Cole Anthony,"$15,887,971"
Aaron Holiday,"$14,792,140"
Davion Mitchell,"$14,500,440"
Tre Jones,"$14,094,745"
Gabe Vincent,"$14,034,855"
Raul Neto,"$13,523,560"
Kendrick Nunn,"$13,246,897"
Tyrese Maxey,"$12,152,560"
Dyson Daniels,"$11,292,720"
Immanuel Quickley,"$10,803,948"
Payton Pritchard,"$10,449,718"
Malachi Flynn,"$10,017,385"
Scoot Henderson,"$9,770,880"
Tre Mann,"$9,138,840"
Ayo Dosunmu,"$8,970,258"
Amen Thompson,"$8,809,320"
Vasilije Micic,"$7,723,000"
Nah'Shon Hyland,"$6,604,800"
Jordan McLaughlin,"$6,480,000"
Jaden Springer,"$6,375,120"
Cason Wallace,"$5,291,400"
Jose Alvarado,"$4,899,614"
TyTy Washington Jr.,"$4,530,480"
Dalano Banton,"$4,508,482"
Jason Preston,"$4,461,917"
Andrew Nembhard,"$4,376,016"
